Name,Ubicación,Unidades,Players,Age
HUMANOS!!! 3 ZOMBIECON,D3,1,2--6,12+
HUNDIR LA FLOTA,P3,1,2,8+
HUNGRY SHARK,V8,1,2--6,6+
ID4S,Q7,1,3--20,6+
IDENTIC CARS,W9,1,1--4,4+
IDENTIC CLUBHOUSE MICKEY,X9,1,1--4,4+
IDENTIC FROZEN,W9,1,1--4,4+
IDENTIC OBJECTS,W9,1,1+,6+
IKONIKUS,Q7,3,2--8,7+
ILLUMINATI,M4,1,2--6,12+
IMAGINE,J3,1,3--8,12+
IMHOTEP,H5,1,2--4,10+
IMPLOIDING KITTENS,Q5,2,2--6,7+
